FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_v,Calign_min(n_v),n_u,Calign_max(n_u),n_a,Cbound,jitter
720,734,(5#)24,727,22.469,720,59.518,733,2.687452,720,7.15644784,727,33.443675,3.998454277,734,0.000000,720,11.060261,734,0.000000,0.934081
735,749,(7#)7/2,739,22.726,735,72.351,743,2.687037,735,8.58719170,742,35.163229,4.145472077,746,0.000000,735,13.085210,749,0.000000,0.882504
750,764,(5#)25,751,22.982,750,61.234,761,2.687024,750,7.15630777,757,34.711892,4.034144733,764,0.000000,750,11.061816,764,0.000000,0.910819
765,779,(5#)51/2,766,23.364,765,66.135,773,2.686848,765,7.63291811,772,35.486840,4.068772757,779,0.000000,765,11.541481,779,0.000000,0.900799
780,794,(5#)26,787,23.743,780,68.643,787,2.686405,780,7.80528485,787,35.888795,4.059355288,794,0.000000,780,11.716232,794,0.000000,0.888962
795,809,(5#)53/2,797,23.956,795,64.932,809,2.686344,795,7.29471835,802,36.366366,4.059836635,809,0.000000,795,11.207479,809,0.000000,0.879530
810,824,(5#)27,811,24.247,810,64.608,823,2.685928,810,7.15472752,817,36.750666,4.049022950,824,0.000000,810,11.069001,824,0.000000,0.868377
825,839,(5#)55/2,827,24.580,825,72.624,839,2.685726,825,7.94924953,832,37.173146,4.044399745,839,0.000000,825,11.898817,839,0.000000,0.859479
840,854,(7#)4,842,24.953,840,79.520,853,2.685775,840,8.58407866,847,38.057720,4.088185602,853,0.000000,840,13.144129,854,0.000000,0.810102
855,869,(5#)57/2,857,25.203,855,70.956,863,2.685434,855,7.57379415,862,38.653300,4.101486567,866,0.000000,855,11.499851,869,0.000000,0.837899
870,884,(5#)29,877,25.614,870,70.438,883,2.685200,870,7.41823750,877,38.730675,4.059148530,883,0.000000,870,11.347465,884,0.000000,0.830098
885,899,(5#)59/2,887,25.817,885,69.869,887,2.685154,885,7.27842450,892,38.941009,4.033255374,899,0.000000,885,11.213238,899,0.000000,0.822614
900,914,(5#)30,907,26.225,900,69.554,911,2.684886,900,7.15208551,907,39.711628,4.064536940,914,0.000000,900,11.090810,914,0.000000,0.813179
915,929,(5#)61/2,919,26.469,915,71.482,929,2.684891,915,7.27296264,922,40.062494,4.053571313,929,0.000000,915,11.217805,929,0.000000,0.805620
930,944,(5#)31,934,26.832,930,73.638,941,2.684762,930,7.39862282,937,40.216901,4.022753430,944,0.000000,930,11.348058,944,0.000000,0.796665
945,959,(7#)9/2,947,27.035,945,86.298,953,2.684635,945,8.58200080,952,41.694283,4.124362418,958,0.000000,945,13.224697,959,0.000000,0.752327
960,974,(5#)32,967,27.437,960,72.791,971,2.684260,960,7.15088425,967,41.364748,4.045747866,974,0.000000,960,11.112158,974,0.000000,0.780968
975,989,(5#)65/2,977,27.639,975,80.200,983,2.684142,975,7.80062493,982,42.247309,4.087550162,989,0.000000,975,11.771125,989,0.000000,0.774132
990,1004,(5#)33,991,27.917,990,82.663,997,2.684190,990,7.94534790,997,42.093032,4.028730270,1004,0.000000,990,11.953882,1004,0.000000,0.766026
1005,1019,(5#)67/2,1006,28.273,1005,76.273,1019,2.683801,1005,7.26051298,1012,42.611898,4.035788696,1019,0.000000,1005,11.242183,1019,0.000000,0.759510
1020,1034,(5#)34,1021,28.514,1020,81.046,1024,2.681141,1020,7.62643108,1027,43.654495,4.091093088,1033,0.000000,1020,11.614571,1034,0.000000,0.749316
1035,1049,(5#)69/2,1039,28.868,1035,80.349,1049,2.683702,1035,7.48994347,1042,43.268288,4.013726424,1049,0.000000,1035,11.485895,1049,0.000000,0.745563
1050,1064,(7#)5,1051,29.104,1050,93.077,1063,2.683407,1050,8.57966186,1057,44.738001,4.107501863,1063,0.000000,1050,13.318548,1064,0.000000,0.702536
1065,1079,(5#)71/2,1069,29.459,1065,79.410,1069,2.683525,1065,7.25304850,1072,44.796632,4.071866120,1079,0.000000,1065,11.264182,1079,0.000000,0.731926
1080,1094,(5#)36,1082,29.769,1080,79.127,1093,2.683318,1080,7.14875727,1087,45.251674,4.071960832,1094,0.000000,1080,11.167273,1094,0.000000,0.725188
1095,1109,(5#)73/2,1097,30.006,1095,80.959,1109,2.683183,1095,7.24917329,1102,45.037198,4.013757310,1109,0.000000,1095,11.276337,1109,0.000000,0.719502
1110,1124,(5#)37,1114,30.391,1110,82.996,1123,2.682909,1110,7.35295362,1117,46.383761,4.093582232,1124,0.000000,1110,11.387961,1124,0.000000,0.712751
1125,1139,(5#)75/2,1126,30.624,1125,81.393,1129,2.683020,1125,7.14844049,1132,46.088752,4.029369546,1139,0.000000,1125,11.192436,1139,0.000000,0.707295
1140,1154,(5#)38,1142,30.932,1140,87.072,1153,2.682829,1140,7.56826738,1147,46.036073,3.986801137,1154,0.000000,1140,11.620547,1154,0.000000,0.700836
1155,1259,(11#)/2,1163,31.281,1155,110.577,1259,2.681915,1155,9.53007910,1206,48.694486,4.066233708,1259,0.000000,1155,14.423193,1259,0.000000,0.663262
1260,1364,(7#)6,1262,33.219,1260,106.006,1361,2.681396,1260,8.57531312,1311,51.584464,4.056036092,1363,0.000000,1260,13.417526,1364,0.000000,0.627298
1365,1469,(7#)13/2,1367,35.127,1365,122.410,1459,2.680712,1365,9.35356312,1416,54.574329,4.058719755,1468,0.000000,1365,13.971439,1469,0.000000,0.600236
1470,1574,(7#)7,1471,37.037,1470,118.464,1571,2.680140,1470,8.57264344,1521,57.461629,4.057088001,1471,0.000000,1470,12.981598,1574,0.000000,0.573981
1575,1679,(7#)15/2,1579,38.988,1575,124.454,1669,2.679787,1575,8.57093822,1626,60.327957,4.057305507,1579,0.039879,1575,12.801788,1679,0.000000,0.550807
1680,1784,(7#)8,1684,40.955,1680,130.519,1783,2.679205,1680,8.56975153,1731,63.104326,4.054267089,1684,0.146311,1680,12.636563,1784,0.000000,0.529300
1785,1889,(7#)17/2,1787,42.667,1785,145.440,1889,2.678883,1785,9.14018451,1836,65.980299,4.059955479,1787,0.229037,1785,13.063197,1889,0.000000,0.510278
1890,1994,(7#)9,1894,44.570,1890,142.254,1993,2.678508,1890,8.56789132,1941,68.574064,4.050480577,1894,0.315377,1890,12.356548,1994,0.000000,0.492430
1995,2099,(7#)19/2,1997,46.287,1995,156.634,2048,2.676937,1995,9.07056300,2046,71.351205,4.054213030,1997,0.386403,1995,12.740114,2099,0.000000,0.476485
2100,2204,(7#)10,2102,48.111,2145,157.626,2203,2.677756,2145,8.65214719,2151,74.048482,4.054710953,2102,0.457343,2100,12.123112,2204,0.000000,0.461392
2205,2309,(7#)21/2,2207,49.823,2205,159.260,2309,2.677521,2205,8.56514666,2256,76.605548,4.049399195,2207,0.518358,2205,12.022029,2309,0.000000,0.447799
2310,2414,(11#),2311,51.548,2310,183.228,2411,2.677177,2310,9.51595498,2361,79.421555,4.058892352,2311,0.576285,2310,12.921942,2414,0.000000,0.434832
2415,2519,(7#)23/2,2417,53.290,2415,178.460,2503,2.676943,2415,8.97116580,2466,81.912078,4.052911581,2513,0.624113,2415,12.246585,2519,0.000000,0.421354
2520,2624,(7#)12,2521,54.982,2520,175.887,2621,2.676720,2520,8.56269466,2571,84.540646,4.054978605,2611,0.587821,2520,11.755842,2624,0.000000,0.411816
2625,2729,(7#)25/2,2633,56.788,2625,181.241,2729,2.676474,2625,8.56221025,2676,86.921734,4.046612392,2723,0.545150,2625,11.680676,2729,0.000000,0.401537
2730,2834,(7#)13,2731,58.353,2730,203.656,2833,2.676249,2730,9.33990552,2782,89.668037,4.056123556,2807,0.512284,2730,12.389346,2834,0.000000,0.391414
2835,2939,(7#)27/2,2837,60.036,2835,191.943,2939,2.675980,2835,8.56078760,2887,92.108059,4.052486884,2933,0.461712,2835,11.541946,2939,0.000000,0.382548
2940,3044,(7#)14,2942,61.731,2940,197.299,3041,2.675833,2940,8.56022332,2992,94.592547,4.051726445,3031,0.426261,2940,11.478098,3044,0.000000,0.373756
3045,3149,(7#)29/2,3046,63.355,3045,209.985,3137,2.675654,3045,8.87685877,3097,97.084308,4.052165383,3073,0.451066,3045,11.736724,3149,0.000000,0.365664
3150,3254,(7#)15,3158,65.091,3150,207.764,3253,2.675448,3150,8.55930633,3202,99.490401,4.049743583,3178,0.518443,3150,11.362904,3254,0.000000,0.357801
3255,3359,(7#)31/2,3257,66.574,3255,220.211,3359,2.675223,3255,8.85376750,3307,101.971955,4.051169086,3269,0.559419,3255,11.605585,3359,0.000000,0.350538
3360,3464,(7#)16,3361,68.166,3360,218.077,3463,2.675056,3360,8.55816779,3412,104.199431,4.043288130,3374,0.620517,3360,11.259577,3464,0.000000,0.343455
3465,3569,(11#)3/2,3467,69.776,3465,247.916,3559,2.674908,3465,9.50870704,3517,106.999861,4.058076155,3493,0.670596,3465,12.206677,3569,0.000000,0.336892
3570,3674,(7#)17,3571,71.347,3570,243.483,3673,2.674779,3570,9.12788635,3622,109.284249,4.053444261,3584,0.706681,3570,11.737410,3674,0.000000,0.328986
3675,3779,(7#)35/2,3677,72.939,3675,233.243,3779,2.674587,3675,8.55682377,3727,111.439079,4.044985701,3682,0.762227,3675,11.124127,3779,0.000000,0.324509
3780,3884,(7#)18,3793,74.670,3780,238.323,3881,2.674486,3780,8.55641678,3832,113.930037,4.049325703,3787,0.799453,3780,11.082485,3884,0.000000,0.318661
3885,3989,(7#)37/2,3889,76.095,3885,250.201,3989,2.674342,3885,8.80059383,3937,116.198940,4.046237925,3899,0.844217,3885,11.288369,3989,0.000000,0.313212
3990,4094,(7#)19,3994,77.683,3990,262.878,4093,2.674208,3990,9.05902910,4042,118.892680,4.058084449,3997,0.881686,3990,11.509211,4094,0.000000,0.307856
4095,4199,(7#)39/2,4096,79.141,4095,276.154,4096,2.673517,4095,9.33300293,4147,120.992259,4.050008651,4109,0.922601,4095,11.750866,4199,0.000000,0.302476
4200,4304,(7#)20,4201,80.675,4290,264.951,4297,2.673959,4290,8.64111668,4252,123.322266,4.050188288,4207,0.956845,4200,10.935628,4304,0.000000,0.297930
4305,4409,(7#)41/2,4306,82.239,4305,269.678,4409,2.673829,4305,8.77400021,4357,125.546082,4.047409195,4319,0.994412,4305,11.122597,4409,0.000000,0.293321
4410,4514,(7#)21,4414,83.801,4410,267.856,4513,2.673712,4410,8.55431361,4462,127.841853,4.047322597,4417,1.025997,4410,10.871223,4514,0.000000,0.288773
4515,4619,(7#)43/2,4517,85.245,4515,279.277,4603,2.673583,4515,8.76250498,4567,130.059696,4.045218897,4595,1.019818,4515,11.049794,4619,0.000000,0.284509
4620,4724,(11#)2,4621,86.734,4620,308.334,4723,2.673457,4620,9.50395507,4672,132.535138,4.051331703,4705,1.001662,4620,11.804375,4724,0.000000,0.280294
4725,4829,(7#)45/2,4729,88.274,4725,282.235,4817,2.673391,4725,8.55334142,4777,134.729933,4.049058310,4790,0.991027,4725,10.783964,4829,0.000000,0.275004
4830,4934,(7#)23,4831,89.721,4830,300.734,4933,2.673275,4830,8.96032980,4882,136.952250,4.048007681,4915,0.965769,4830,11.163834,4934,0.000000,0.272416
4935,5039,(7#)47/2,4937,91.220,4935,298.234,5039,2.673145,4935,8.74270751,4987,139.311760,4.051255638,5000,0.947237,4935,10.920776,5039,0.000000,0.268730
5040,5144,(7#)24,5042,92.734,5040,296.539,5119,2.673070,5040,8.55236744,5092,141.266302,4.043075146,5120,0.925886,5040,10.705224,5144,0.000000,0.265075
5145,5249,(7#)49/2,5147,94.168,5145,301.192,5237,2.672990,5145,8.55217279,5197,143.865419,4.053586437,5245,0.906685,5145,10.681348,5249,0.000000,0.261632
5250,5354,(7#)25,5261,95.760,5250,305.941,5351,2.672862,5250,8.55190387,5302,145.600092,4.040030627,5345,0.888134,5250,10.657573,5354,0.000000,0.258214
5355,5459,(7#)51/2,5366,97.255,5355,331.254,5449,2.672803,5355,9.12165173,5407,148.310048,4.053795516,5455,0.867364,5355,11.205326,5459,0.000000,0.254989
5460,5564,(7#)26,5462,98.584,5460,343.923,5563,2.672682,5460,9.32868501,5512,150.250595,4.046600915,5545,0.850183,5460,11.392917,5564,0.000000,0.251621
5565,5669,(7#)53/2,5569,100.024,5565,326.115,5669,2.672620,5565,8.71878830,5617,152.580324,4.050199838,5645,0.830795,5565,10.759674,5669,0.000000,0.248757
5670,5774,(7#)27,5674,101.503,5670,324.519,5749,2.672555,5670,8.55087561,5722,154.501031,4.043198456,5765,0.807175,5670,10.571165,5774,0.000000,0.245744
5775,5879,(11#)5/2,5779,102.904,5775,365.623,5879,2.672429,5775,9.50061339,5827,156.920607,4.049513986,5870,0.789158,5775,11.543527,5879,0.000000,0.242896
5880,5984,(7#)28,5881,104.296,5880,333.702,5981,2.672375,5880,8.55032099,5932,159.038414,4.048089303,5935,0.775622,5880,10.531843,5984,0.000000,0.238782
5985,6089,(7#)57/2,5987,105.737,5985,358.112,6089,2.672295,5985,9.05311257,6037,161.033929,4.043897131,5990,0.796200,5985,11.016379,6089,0.000000,0.237373
6090,6194,(7#)29,6091,107.146,6090,355.524,6173,2.672233,6090,8.86660386,6142,163.377962,4.048601885,6115,0.830737,6090,10.811651,6194,0.000000,0.234694
6195,6299,(7#)59/2,6197,108.578,6195,353.399,6299,2.672121,6195,8.69963656,6247,165.426252,4.046139659,6250,0.867854,6195,10.627475,6299,0.000000,0.232156
6300,6404,(7#)30,6301,109.978,6300,351.884,6397,2.672075,6300,8.54943114,6352,167.711695,4.049586401,6310,0.890652,6300,10.460089,6404,0.000000,0.229624
6405,6509,(7#)61/2,6406,111.422,6405,362.379,6491,2.671989,6405,8.69418887,6457,169.533296,4.042122955,6415,0.916694,6405,10.588600,6509,0.000000,0.227221
6510,6614,(7#)31,6514,112.866,6510,373.333,6607,2.671912,6510,8.84387731,6562,172.040433,4.051098213,6515,0.943838,6510,10.722053,6614,0.000000,0.224822
6615,6719,(7#)63/2,6619,114.230,6615,365.310,6719,2.671839,6615,8.54880788,6667,173.844732,4.043672138,6635,0.975486,6615,10.411617,6719,0.000000,0.222543
6720,6824,(7#)32,6722,115.634,6720,369.831,6823,2.671772,6720,8.54861281,6772,175.978794,4.044166910,6730,1.002883,6720,10.396052,6824,0.000000,0.220266
6825,6929,(7#)65/2,6827,116.990,6825,408.251,6917,2.671733,6825,9.32561359,6877,178.167028,4.046042181,6835,1.026114,6825,11.161128,6929,0.000000,0.217953
6930,7034,(11#)3,6934,118.438,6930,420.804,7027,2.671646,6930,9.49810045,6982,180.491731,4.051002954,6940,1.059772,6930,11.358306,7034,0.000000,0.215938
7035,7139,(7#)67/2,7039,119.786,7035,388.986,7129,2.671604,7035,8.67954514,7087,182.481140,4.048550602,7045,1.076644,7035,10.484036,7139,0.000000,0.212744
7140,7244,(7#)34,7142,121.173,7140,413.397,7243,2.671518,7140,9.11771327,7192,184.349590,4.043665129,7145,1.099798,7140,10.908479,7244,0.000000,0.211819
7245,7349,(7#)69/2,7247,122.514,7245,410.571,7349,2.671475,7245,8.95476755,7297,186.599192,4.047306853,7255,1.124610,7245,10.732289,7349,0.000000,0.209858
7350,7454,(7#)35,7351,123.872,7350,396.351,7451,2.671399,7350,8.54755750,7402,188.585838,4.045304290,7355,1.146638,7350,10.311916,7454,0.000000,0.207894
7455,7559,(7#)71/2,7457,125.253,7455,406.477,7559,2.671338,7455,8.67119566,7507,190.573730,4.043552639,7465,1.170307,7455,10.423059,7559,0.000000,0.206024
7560,7664,(7#)36,7561,126.604,7560,405.088,7649,2.671307,7560,8.54715332,7612,192.890274,4.048791853,7570,1.194969,7560,10.286482,7664,0.000000,0.204149
7665,7769,(7#)73/2,7666,127.997,7665,415.156,7759,2.671230,7665,8.66741947,7717,194.756355,4.044706274,7690,1.219459,7665,10.394841,7769,0.000000,0.202358
7770,7874,(7#)37,7778,129.444,7770,425.607,7873,2.671187,7770,8.79107181,7822,196.833371,4.045143165,7795,1.237775,7770,10.506541,7874,0.000000,0.200570
7875,7979,(7#)75/2,7877,130.686,7875,418.058,7963,2.671123,7875,8.54665467,7927,198.692822,4.041298907,7895,1.257271,7875,10.250763,7979,0.000000,0.198862
7980,8084,(7#)38,7993,132.177,7980,447.279,8081,2.671080,7980,9.04923277,8032,200.894406,4.044502207,7985,1.274481,7980,10.741935,8084,0.000000,0.197147
8085,8189,(11#)7/2,8087,133.381,8085,474.097,8179,2.671014,8085,9.49598970,8137,203.210406,4.049992879,8095,1.295020,8085,11.219730,8189,0.000000,0.195511
8190,8294,(7#)39,8191,134.711,8190,470.222,8192,2.670682,8190,9.32316868,8242,205.147271,4.047966477,8210,1.318451,8190,10.996737,8293,0.000000,0.193904
8295,8399,(7#)79/2,8297,136.064,8295,440.921,8389,2.670927,8295,8.65701829,8347,207.115919,4.046722956,8315,1.334740,8295,10.317578,8399,0.000000,0.192300
8400,8504,(7#)40,8402,137.433,8400,439.597,8501,2.670873,8400,8.54588363,8452,208.974681,4.043474147,8420,1.359683,8400,10.196006,8504,0.000000,0.190725
8505,8609,(7#)81/2,8506,138.753,8580,451.419,8609,2.670822,8580,8.63195161,8557,210.859387,4.040917770,8530,1.374197,8505,10.185971,8609,0.000000,0.189221
8610,8714,(7#)41,8612,140.128,8610,459.612,8713,2.670774,8610,8.76475917,8662,213.212438,4.047362969,8615,1.386089,8610,10.394949,8714,0.000000,0.187709
8715,8819,(7#)83/2,8719,141.415,8715,457.898,8819,2.670711,8715,8.65094459,8767,215.122350,4.045431747,8735,1.405779,8715,10.271613,8819,0.000000,0.186264
8820,8924,(7#)42,8821,142.701,8820,456.602,8923,2.670664,8820,8.54530676,8872,216.944314,4.041985082,8830,1.423298,8820,10.156390,8924,0.000000,0.184811
8925,9029,(7#)85/2,8926,144.055,8925,491.498,9029,2.670632,8925,9.11489376,8977,219.358855,4.049625901,8935,1.437585,8925,10.716959,9029,0.000000,0.183422
9030,9134,(7#)43,9034,145.410,9030,476.391,9133,2.670587,9030,8.75349434,9082,220.926830,4.041709010,9055,1.456089,9030,10.346246,9134,0.000000,0.182024
9135,9239,(7#)87/2,9137,146.668,9135,486.581,9239,2.670527,9135,8.86137132,9187,222.941908,4.042164105,9155,1.471190,9135,10.445354,9239,0.000000,0.180687
9240,9344,(11#)4,9241,147.967,9240,526.059,9343,2.670483,9240,9.49418124,9292,225.231296,4.047578074,9260,1.492741,9240,11.111313,9344,0.000000,0.179342
9345,9449,(7#)89/2,9346,149.309,9345,483.084,9439,2.670444,9345,8.64288941,9397,227.142339,4.046222119,9355,1.500560,9345,10.209610,9449,0.000000,0.177041
9450,9554,(7#)45,9458,150.702,9450,481.827,9551,2.670398,9450,8.54454716,9502,228.834927,4.041121674,9470,1.519058,9450,10.102772,9554,0.000000,0.176754
