START,n_0,C_min,Npred_0,CpredBound,Lambda_min,Jitter,JitterRatio
(7#)35,7351,2.199762,7451,0.244490,2.196930e+00,9.634478,9.510719e+00
(7#)71/2,7522,2.372402,7559,0.257534,2.220506e+00,9.634478,1.040252e+01
(7#)36,7561,2.321013,7649,0.266028,2.166157e+00,9.634478,1.020126e+01
(7#)73/2,7727,2.199214,7759,0.286334,2.038696e+00,9.634478,9.601699e+00
(7#)37,7846,2.336977,7873,0.292893,2.076806e+00,9.634478,1.037720e+01
(7#)75/2,7951,2.232082,7963,0.306773,1.984582e+00,9.634478,9.860947e+00
(7#)38,8062,2.328303,8081,0.321768,1.979064e+00,9.634478,1.039518e+01
(11#)7/2,8116,2.236375,8179,0.325991,1.925742e+00,9.634478,9.990292e+00
(7#)39,8224,2.292547,8192,0.345802,1.891552e+00,9.634478,1.019303e+01
(7#)79/2,8311,2.234912,8389,0.348830,1.857372e+00,9.634478,1.005975e+01
(7#)40,8429,2.249292,8501,0.364895,1.818761e+00,9.634478,1.015512e+01
(7#)81/2,8599,2.329117,8609,0.371921,1.834563e+00,9.634478,1.065169e+01
(7#)41,8614,2.287560,8713,0.383974,1.784666e+00,9.634478,1.045734e+01
(7#)83/2,8777,2.179478,8819,0.394070,1.710312e+00,9.634478,9.901042e+00
(7#)42,8839,2.279660,8923,0.397630,1.746260e+00,9.634478,1.053274e+01
(7#)85/2,9014,2.281605,9029,0.415020,1.704308e+00,9.634478,1.054301e+01
(7#)43,9091,2.412999,9133,0.416558,1.756600e+00,9.634478,1.137773e+01
(7#)87/2,9173,2.323530,9239,0.431434,1.683728e+00,9.634478,1.088066e+01
(11#)4,9283,2.301998,9343,0.435169,1.665798e+00,9.634478,1.082964e+01
(7#)89/2,9349,2.396602,9439,0.446807,1.679680e+00,9.634478,1.140164e+01
(7#)45,9511,2.294051,9551,0.453092,1.621979e+00,9.634478,1.086492e+01
(7#)91/2,9649,2.163663,9649,0.460282,1.547719e+00,9.634478,1.013353e+01
(7#)46,9748,2.284701,9749,0.468759,1.583902e+00,9.634478,1.089063e+01
(7#)93/2,9817,2.375649,9859,0.465031,1.630922e+00,10.122445,1.100222e+01
(7#)47,9941,2.284239,9973,0.476768,1.566758e+00,10.122445,1.050232e+01
(7#)95/2,10078,2.360845,10079,0.472286,1.609190e+00,10.567336,1.059886e+01
(7#)48,10174,2.343381,10181,0.484143,1.576970e+00,10.567336,1.051692e+01
(7#)97/2,10273,2.292671,10289,0.485249,1.552811e+00,10.567336,1.030868e+01
(7#)49,10369,2.243034,10391,0.498094,1.504796e+00,10.567336,1.002955e+01
(11#)9/2,10462,2.194423,10499,0.498048,1.482978e+00,10.567336,9.829758e+00
(7#)50,10501,2.449522,10601,0.510880,1.567513e+00,10.567336,1.131908e+01
(7#)101/2,10687,2.319381,10709,0.508412,1.517763e+00,10.567336,1.065803e+01
(7#)51,10786,2.430362,10799,0.523730,1.534819e+00,10.567336,1.129495e+01
(7#)103/2,10883,2.318296,10909,0.521685,1.491524e+00,10.567336,1.072817e+01
(7#)52,11023,2.452351,11003,0.534926,1.522674e+00,10.567336,1.152697e+01
(7#)105/2,11054,2.258518,11119,0.531419,1.446913e+00,10.567336,1.046864e+01
(7#)53,11197,2.391314,11213,0.544762,1.479249e+00,10.567336,1.126694e+01
(7#)107/2,11272,2.131467,11329,0.558571,1.339184e+00,10.567336,9.675116e+00
(7#)54,11353,2.334737,11443,0.572611,1.405448e+00,10.567336,1.092472e+01
(7#)109/2,11461,2.347919,11549,0.584144,1.391137e+00,10.567336,1.101449e+01
(11#)5,11593,2.296655,11633,0.596725,1.347753e+00,10.567336,1.067645e+01
(7#)111/2,11749,2.392249,11743,0.609269,1.367729e+00,10.567336,1.128124e+01
(7#)56,11839,2.348206,11863,0.621978,1.328502e+00,10.567336,1.100987e+01
(7#)113/2,11932,2.392674,11969,0.633590,1.328765e+00,10.567336,1.129824e+01
(7#)57,11971,2.386736,12073,0.643331,1.311023e+00,10.567336,1.127405e+01
(7#)115/2,12101,2.395745,12163,0.657835,1.292495e+00,10.567336,1.130442e+01
(7#)58,12281,2.223656,12281,0.667048,1.204046e+00,10.567336,1.020240e+01
(7#)117/2,12326,2.217079,12379,0.680216,1.181535e+00,10.567336,1.013624e+01
(7#)59,12422,2.346659,12491,0.689039,1.225450e+00,10.567336,1.101054e+01
(7#)119/2,12574,2.295932,12589,0.702094,1.184827e+00,10.567336,1.065228e+01
(7#)60,12671,2.225896,12703,0.710854,1.141448e+00,10.567336,1.019786e+01
(11#)11/2,12757,2.354186,12809,0.721822,1.182172e+00,10.567336,1.105979e+01
(7#)61,12878,2.336543,12911,0.732904,1.159413e+00,10.567336,1.093335e+01
(7#)123/2,12982,2.377047,13009,0.742430,1.163686e+00,10.567336,1.121122e+01
(7#)62,13049,2.340065,13121,0.753934,1.132629e+00,10.567336,1.095250e+01
(7#)125/2,13142,2.381559,13229,0.762671,1.138684e+00,10.567336,1.125125e+01
(7#)63,13241,2.313245,13331,0.773625,1.095319e+00,10.567336,1.076541e+01
(7#)127/2,13339,2.408045,13421,0.782330,1.124294e+00,10.567336,1.142795e+01
(7#)64,13451,2.365320,13537,0.791725,1.094454e+00,10.567336,1.113700e+01
(7#)129/2,13646,2.418129,13649,0.802076,1.103546e+00,10.567336,1.151217e+01
(7#)65,13729,2.380300,13751,0.811270,1.076381e+00,10.567336,1.124314e+01
(7#)131/2,13807,2.343338,13859,0.818590,1.051748e+00,11.102550,1.046362e+01
(11#)6,13943,2.508139,13963,0.823159,1.114147e+00,11.102550,1.163174e+01
(7#)133/2,14051,2.389016,14057,0.831080,1.055911e+00,11.102550,1.081193e+01
(7#)67,14096,2.408715,14173,0.839813,1.053669e+00,11.102550,1.095901e+01
(7#)135/2,14243,2.286441,14251,0.848731,9.910094e-01,11.102550,1.008630e+01
(7#)68,14332,2.428418,14369,0.857229,1.041290e+00,11.102550,1.109486e+01
(7#)137/2,14411,2.316236,14489,0.866037,9.837711e-01,11.102550,1.030810e+01
(7#)69,14528,2.225437,14593,0.874775,9.337419e-01,11.102550,9.655073e+00
(7#)139/2,14699,2.430591,14699,0.879279,1.016787e+00,11.590518,1.068355e+01
(7#)70,14779,2.470069,14797,0.884970,1.026448e+00,11.590518,1.097381e+01
(7#)141/2,14831,2.313924,14897,0.893306,9.517709e-01,11.590518,9.887684e+00
(7#)71,14951,2.398094,15013,0.901297,9.785947e-01,11.590518,1.048209e+01
(13#)/2,15784,2.297078,16141,0.908685,9.273947e-01,11.590518,1.029773e+01
(11#)7,17218,2.342733,16384,0.991581,8.597728e-01,11.590518,1.014108e+01
(11#)15/2,18322,2.313856,18461,1.063366,7.774760e-01,11.590518,1.031995e+01
(11#)8,18637,2.262025,19609,1.128659,6.952302e-01,11.590518,9.814085e+00
(11#)17/2,20509,2.288028,20789,1.180180,6.620233e-01,12.177555,9.566664e+00
(11#)9,20816,2.279925,21943,1.227735,6.189715e-01,12.712769,9.087613e+00
(11#)19/2,22354,2.333078,23099,1.274932,6.042956e-01,12.712769,9.522451e+00
(11#)10,23201,2.282149,24251,1.318601,5.485462e-01,12.712769,9.016040e+00
(11#)21/2,24256,2.336632,25409,1.360534,5.408333e-01,12.712769,9.481785e+00
(11#)11,25496,2.309603,26561,1.395439,5.038666e-01,12.712769,9.202139e+00
(11#)23/2,27182,2.331847,27701,1.424730,4.926783e-01,13.356646,8.989716e+00
(11#)12,27904,2.328254,28871,1.456885,4.688180e-01,13.356646,8.927821e+00
(11#)25/2,29738,2.340355,30029,1.481589,4.571875e-01,13.943683,8.699569e+00
(13#),30332,2.331433,31183,1.509209,4.348974e-01,13.943683,8.586554e+00
(11#)27/2,31294,2.341935,32327,1.535310,4.222452e-01,13.943683,8.672191e+00
(11#)14,32972,2.389670,32768,1.559672,4.266797e-01,13.943683,9.021651e+00
(11#)29/2,34274,2.354215,34649,1.565109,4.082519e-01,17.323716,7.222226e+00
(11#)15,35792,2.297694,35803,1.581980,3.732288e-01,17.323716,6.726448e+00
(11#)31/2,36436,2.373766,36947,1.603335,3.923919e-01,17.323716,7.427426e+00
(11#)16,37201,2.393769,38113,1.622743,3.887512e-01,17.323716,7.622638e+00
(11#)33/2,38188,2.401751,39251,1.640902,3.809520e-01,17.323716,7.703587e+00
(11#)17,39992,2.425829,40423,1.655791,3.818945e-01,17.967592,7.698800e+00
(11#)35/2,40597,2.307754,41579,1.671639,3.224702e-01,17.967592,6.507081e+00
(11#)18,41851,2.392174,42727,1.688638,3.482803e-01,17.967592,7.357728e+00
(11#)37/2,43531,2.348344,43889,1.703406,3.210806e-01,17.967592,6.893592e+00
(11#)19,44533,2.418503,45013,1.717023,3.425568e-01,18.174765,7.566480e+00
(13#)3/2,45259,2.407217,46199,1.730600,3.300031e-01,18.174765,7.454361e+00
(11#)20,46369,2.380141,47353,1.743861,3.110581e-01,18.174765,7.152170e+00
(11#)41/2,47834,2.378831,48497,1.757033,3.029826e-01,18.174765,7.126599e+00
(11#)21,48931,2.430664,49663,1.769185,3.176455e-01,18.174765,7.729592e+00
(11#)43/2,50461,2.416903,50789,1.774006,3.092467e-01,21.554797,6.451258e+00
(11#)22,51826,2.346624,51973,1.775829,2.787103e-01,21.554797,5.836412e+00
(11#)45/2,52876,2.469593,53129,1.786829,3.236108e-01,21.554797,7.107753e+00
(11#)23,53624,2.388364,54277,1.797928,2.839737e-01,21.554797,6.254806e+00
(11#)47/2,54421,2.447211,55439,1.807684,3.029025e-01,21.554797,6.893081e+00
(11#)24,56176,2.444148,56591,1.817801,2.960691e-01,21.554797,6.865428e+00
(11#)49/2,57172,2.426083,57737,1.826696,2.837692e-01,21.768039,6.613047e+00
(11#)25,58789,2.355012,58901,1.835386,2.492910e-01,21.768039,5.827386e+00
(11#)51/2,59074,2.411060,60041,1.844461,2.678794e-01,21.768039,6.454600e+00
(13#)2,61058,2.418361,61211,1.852623,2.664876e-01,21.768039,6.547390e+00
(11#)53/2,61444,2.421746,62351,1.860918,2.634189e-01,21.768039,6.589365e+00
(11#)27,63421,2.436905,63521,1.869542,2.650353e-01,21.768039,6.768422e+00
(11#)55/2,64198,2.443219,64679,1.876811,2.637424e-01,21.768039,6.857787e+00
(11#)28,65336,2.468498,65536,1.884366,2.700184e-01,21.768039,7.149090e+00
(11#)57/2,66602,2.429966,66977,1.890772,2.508921e-01,21.975212,6.654494e+00
(11#)29,67904,2.413565,68141,1.897862,2.403769e-01,21.975212,6.455156e+00
(11#)59/2,69239,2.447118,69263,1.904598,2.506400e-01,21.975212,6.882432e+00
(11#)30,69911,2.449157,70451,1.911160,2.480335e-01,21.975212,6.920980e+00
(11#)61/2,70544,2.431070,71597,1.916640,2.377578e-01,22.190667,6.640943e+00
(11#)31,71633,2.358847,72763,1.923565,2.039927e-01,22.190667,5.694238e+00
(11#)63/2,73016,2.438849,73907,1.929350,2.343430e-01,22.190667,6.751087e+00
(11#)32,74716,2.474061,75041,1.935002,2.457526e-01,22.190667,7.232705e+00
(13#)5/2,75968,2.467098,76213,1.940644,2.400227e-01,22.190667,7.154133e+00
(11#)33,77144,2.383605,77383,1.945945,2.028663e-01,22.190667,6.022455e+00
(11#)67/2,78427,2.494035,78539,1.951855,2.451217e-01,22.190667,7.552254e+00
(11#)34,79312,2.406904,79693,1.956797,2.070323e-01,22.190667,6.345420e+00
(11#)69/2,79784,2.452666,80849,1.962337,2.230395e-01,22.190667,6.994859e+00
(11#)35,81749,2.460417,82003,1.967065,2.237883e-01,22.190667,7.120569e+00
(11#)71/2,82252,2.460452,83137,1.972234,2.211782e-01,22.190667,7.126602e+00
(11#)36,84046,2.459958,84313,1.976717,2.187069e-01,22.190667,7.136025e+00
(11#)73/2,84562,2.471941,85469,1.980906,2.214494e-01,22.403909,7.263124e+00
(11#)37,86248,2.426071,86599,1.985083,2.006123e-01,22.403909,6.593834e+00
(11#)75/2,87316,2.472748,87767,1.989713,2.173397e-01,22.403909,7.302730e+00
(11#)38,88498,2.433762,88919,1.993374,1.996095e-01,22.623679,6.664560e+00
(11#)77/2,89459,2.383150,90089,1.997384,1.765848e-01,22.623679,5.901214e+00
(13#)3,90526,2.492321,91243,2.001795,2.191701e-01,22.623679,7.582959e+00
(11#)79/2,92357,2.434532,92399,2.005459,1.938816e-01,22.623679,6.702219e+00
(11#)40,92656,2.473194,93553,2.009450,2.076494e-01,22.623679,7.318361e+00
(11#)81/2,94228,2.450231,94709,2.013792,1.961628e-01,22.623679,6.957627e+00
(11#)41,95467,2.446013,95857,2.017456,1.926220e-01,22.623679,6.900268e+00
(11#)83/2,96361,2.470995,97007,2.020953,2.010517e-01,22.623679,7.317910e+00
(11#)42,97684,2.508166,98143,2.024633,2.141634e-01,22.623679,7.938458e+00
(11#)85/2,98764,2.453349,99317,2.028251,1.902802e-01,22.623679,7.047990e+00
(11#)43,99581,2.468655,100483,2.031155,1.950689e-01,22.623679,7.323903e+00
(11#)87/2,101467,2.483060,101627,2.034570,1.992072e-01,22.623679,7.578452e+00
(11#)44,102352,2.491281,102793,2.038422,2.006211e-01,22.623679,7.724780e+00
(11#)89/2,103214,2.468903,103919,2.041685,1.899985e-01,22.623679,7.353338e+00
(11#)45,104056,2.467765,105097,2.044560,1.881303e-01,22.623679,7.352482e+00
(13#)7/2,105883,2.452749,106243,2.046789,1.809372e-01,22.839134,7.049295e+00
(11#)46,106298,2.480088,107377,2.049892,1.905069e-01,22.839134,7.536042e+00
(11#)93/2,107684,2.498534,108557,2.052862,1.964692e-01,23.063049,7.801582e+00
(11#)47,109717,2.499467,109721,2.055643,1.954888e-01,23.063049,7.838112e+00
(11#)95/2,110281,2.415536,110879,2.058533,1.599276e-01,23.063049,6.359847e+00
(11#)48,111058,2.464714,112031,2.061026,1.788719e-01,23.063049,7.253323e+00
(11#)97/2,112681,2.478536,113189,2.063958,1.830426e-01,23.063049,7.512691e+00
(11#)49,113389,2.460935,114343,2.066496,1.746869e-01,23.063049,7.208048e+00
(11#)99/2,115426,2.500222,115499,2.069052,1.892890e-01,23.063049,7.945206e+00
(11#)50,116371,2.460027,116639,2.071940,1.716870e-01,23.063049,7.209743e+00
(11#)101/2,116728,2.402456,117809,2.074498,1.467724e-01,23.063049,6.143287e+00
(11#)51,118894,2.444233,118931,2.076886,1.628617e-01,23.063049,6.935390e+00
(11#)103/2,119458,2.462122,120103,2.079462,1.689144e-01,23.063049,7.283459e+00
(13#)4,121234,2.463828,121271,2.082011,1.683820e-01,23.063049,7.325960e+00
(11#)105/2,121612,2.502568,122401,2.084268,1.828997e-01,23.063049,8.087927e+00
(11#)53,123059,2.504951,123583,2.086683,1.826934e-01,23.063049,8.152025e+00
(11#)107/2,124447,2.517146,124739,2.089073,1.864053e-01,23.063049,8.407808e+00
(11#)54,125479,2.491172,125887,2.091171,1.750291e-01,23.063049,7.916382e+00
(11#)109/2,126397,2.546025,127037,2.093493,1.956994e-01,23.063049,9.023852e+00
(11#)55,127189,2.428594,128203,2.095638,1.474544e-01,23.063049,6.689944e+00
(11#)111/2,129263,2.490514,129347,2.097604,1.716934e-01,23.063049,7.953001e+00
(11#)56,130307,2.503745,130513,2.099483,1.760965e-01,23.291312,8.163174e+00
(11#)113/2,131641,2.512217,131072,2.100868,1.788150e-01,23.511082,8.257888e+00
(11#)57,131888,2.478781,132817,2.103022,1.643915e-01,23.511082,7.626712e+00
(11#)115/2,133174,2.475614,133979,2.104966,1.621891e-01,23.511082,7.577598e+00
(11#)58,134087,2.503206,135131,2.106680,1.724591e-01,23.511082,8.164510e+00
(13#)9/2,135802,2.501586,136277,2.108905,1.707561e-01,23.511082,8.142265e+00
(11#)59,136649,2.492808,137443,2.110548,1.664622e-01,23.511082,7.982493e+00
(11#)119/2,137587,2.515309,138599,2.112615,1.744691e-01,23.511082,8.467938e+00
(11#)60,139511,2.466330,139753,2.114285,1.540145e-01,23.511082,7.454072e+00
(11#)121/2,140009,2.495139,140909,2.116142,1.647498e-01,23.511082,8.079883e+00
(11#)61,141676,2.498497,142061,2.118211,1.651175e-01,23.511082,8.162430e+00
(11#)123/2,142258,2.505830,143197,2.119914,1.672445e-01,23.511082,8.338310e+00
(11#)62,143896,2.509536,144349,2.121738,1.678623e-01,23.511082,8.434991e+00
(11#)125/2,145144,2.491578,145517,2.123188,1.599975e-01,23.511082,8.066736e+00
(11#)63,146176,2.504029,146683,2.124939,1.641579e-01,23.511082,8.356328e+00
(11#)127/2,147401,2.521313,147827,2.126332,1.703814e-01,23.511082,8.763070e+00
(11#)64,148696,2.533538,148991,2.128263,1.743106e-01,23.511082,9.050322e+00
(11#)129/2,149846,2.509766,150131,2.129801,1.641610e-01,23.511082,8.539108e+00
(13#)5,150292,2.507348,151303,2.131621,1.623429e-01,23.511082,8.498690e+00
(11#)131/2,151909,2.518866,152459,2.132935,1.663098e-01,23.511082,8.784978e+00
(11#)66,152914,2.505061,153611,2.134503,1.600793e-01,23.511082,8.488066e+00
(11#)133/2,154702,2.506776,154769,2.135854,1.601309e-01,23.511082,8.549698e+00
(11#)67,155816,2.502854,155921,2.137574,1.577601e-01,23.511082,8.471803e+00
(11#)135/2,156007,2.496651,157061,2.138676,1.547633e-01,23.743778,8.271041e+00
(11#)68,157901,2.486203,158233,2.140051,1.499270e-01,23.743778,8.047546e+00
(11#)137/2,158419,2.533724,159389,2.141568,1.681519e-01,23.743778,9.172523e+00
(11#)69,159407,2.542242,160541,2.142686,1.709862e-01,23.743778,9.401847e+00
(11#)139/2,161659,2.491347,161683,2.143898,1.501979e-01,23.967693,8.147326e+00
(11#)70,162353,2.507294,162853,2.145246,1.559499e-01,23.967693,8.540819e+00
(11#)141/2,163297,2.519915,163997,2.146627,1.603274e-01,23.967693,8.857497e+00
(11#)71,164954,2.477786,165161,2.147623,1.430038e-01,23.967693,7.880532e+00
(13#)11/2,165701,2.520785,166319,2.149371,1.593951e-01,23.967693,8.916919e+00
(11#)72,166351,2.526473,167471,2.150684,1.610383e-01,23.967693,9.074021e+00
(11#)145/2,167809,2.490909,168629,2.151705,1.463872e-01,23.967693,8.237812e+00
(11#)73,168814,2.509419,169783,2.153083,1.531505e-01,23.967693,8.703231e+00
(11#)147/2,170539,2.495056,170927,2.154357,1.468189e-01,23.967693,8.368043e+00
(11#)74,171694,2.497959,172093,2.155628,1.473919e-01,23.967693,8.455939e+00
(11#)149/2,172849,2.504239,173249,2.156717,1.493977e-01,23.967693,8.632234e+00
(11#)75,174214,2.457750,174389,2.158014,1.300579e-01,23.967693,7.486107e+00
(11#)151/2,174814,2.514062,175543,2.159177,1.521726e-01,23.967693,8.912400e+00
(11#)76,176551,2.496728,176713,2.160075,1.448381e-01,23.967693,8.501524e+00
(11#)153/2,177841,2.524335,177841,2.161425,1.552099e-01,23.967693,9.213388e+00
(11#)77,178898,2.502055,179021,2.162641,1.457822e-01,23.967693,8.664574e+00
(11#)155/2,179083,2.529322,180179,2.163524,1.562129e-01,23.967693,9.388497e+00
(13#)6,180379,2.501151,181303,2.164823,1.444124e-01,23.967693,8.677055e+00
(11#)157/2,181919,2.535068,182489,2.165966,1.573540e-01,23.967693,9.574582e+00
(11#)79,182519,2.515243,183637,2.166839,1.491000e-01,23.967693,9.085117e+00
(11#)159/2,184696,2.506373,184777,2.168088,1.449910e-01,23.967693,8.866954e+00
(11#)80,185578,2.512282,185951,2.169162,1.468506e-01,23.967693,9.041383e+00
(11#)161/2,187024,2.533868,187091,2.169944,1.550456e-01,23.967693,9.638656e+00
(11#)81,187471,2.522543,188261,2.170882,1.501340e-01,24.204908,9.270738e+00
(11#)163/2,189094,2.510677,189407,2.171794,1.449989e-01,24.204908,8.979282e+00
(11#)82,189817,2.521375,190573,2.172543,1.489060e-01,24.204908,9.290411e+00
(11#)165/2,191626,2.523077,191717,2.173876,1.489674e-01,24.204908,9.346863e+00
(11#)83,191768,2.509171,192883,2.174726,1.430497e-01,24.204908,8.997370e+00
(11#)167/2,193639,2.501153,194027,2.175540,1.394749e-01,24.204908,8.803165e+00
(11#)84,194767,2.519507,195193,2.176366,1.464067e-01,24.433172,9.236513e+00
(13#)13/2,195751,2.518018,196337,2.177228,1.454196e-01,24.433172,9.218147e+00
(11#)85,197402,2.512439,197479,2.178155,1.427758e-01,24.433172,9.086108e+00
(11#)171/2,198046,2.523633,198659,2.179051,1.468101e-01,24.433172,9.412781e+00
(11#)86,199021,2.495353,199813,2.179974,1.351173e-01,24.433172,8.656879e+00
(11#)173/2,200899,2.517394,200929,2.180772,1.435453e-01,24.433172,9.283113e+00
(11#)87,201904,2.515768,202121,2.181554,1.425407e-01,24.433172,9.262409e+00
(11#)175/2,203128,2.520731,203279,2.182662,1.440037e-01,24.433172,9.414119e+00
(11#)88,203417,2.508934,204431,2.183427,1.389623e-01,24.433172,9.107253e+00
(11#)177/2,204928,2.464243,205589,2.184259,1.206080e-01,24.433172,7.870680e+00
(11#)89,205924,2.529874,206699,2.185186,1.464685e-01,24.433172,9.733331e+00
(11#)179/2,206984,2.513240,207877,2.185997,1.395007e-01,24.433172,9.284757e+00
(11#)90,208129,2.513207,209039,2.186758,1.391395e-01,24.433172,9.305529e+00
(11#)181/2,209362,2.520880,210209,2.187403,1.418931e-01,24.433172,9.550364e+00
(13#)7,210557,2.506060,211349,2.188511,1.354904e-01,24.433172,9.135461e+00
(11#)183/2,211459,2.494267,212507,2.189224,1.304478e-01,24.433172,8.815904e+00
(11#)92,212644,2.547725,213659,2.189987,1.513052e-01,24.433172,1.038571e+01
(11#)185/2,213784,2.541986,214817,2.190649,1.487478e-01,24.433172,1.024613e+01
(11#)93,215854,2.563496,215983,2.191651,1.567168e-01,24.433172,1.089346e+01
(11#)187/2,216917,2.525146,217121,2.192381,1.413107e-01,24.433172,9.791571e+00
(11#)94,217697,2.481485,218287,2.192934,1.236168e-01,24.433172,8.528740e+00
(11#)189/2,219311,2.546183,219437,2.193696,1.490076e-01,24.433172,1.046444e+01
(11#)95,220453,2.532386,220589,2.194589,1.431672e-01,24.433172,1.007240e+01
(11#)191/2,221332,2.526687,221747,2.195060,1.406996e-01,24.674994,9.834548e+00
(11#)96,222634,2.538822,222913,2.195439,1.453182e-01,24.674994,1.022801e+01
(11#)193/2,223469,2.547178,224069,2.196165,1.482734e-01,24.674994,1.050067e+01
(11#)97,225002,2.551522,225223,2.197019,1.495886e-01,24.674994,1.065081e+01
(13#)15/2,225892,2.548480,226379,2.197716,1.480785e-01,24.674994,1.058377e+01
(11#)98,227251,2.549104,227533,2.198193,1.481063e-01,24.674994,1.063341e+01
(11#)197/2,228097,2.525164,228677,2.198833,1.383792e-01,24.674994,9.930219e+00
(11#)99,229234,2.519971,229841,2.199728,1.359137e-01,24.674994,9.786510e+00
(11#)199/2,230848,2.518411,230999,2.200299,1.350349e-01,24.674994,9.762416e+00
(11#)100,231643,2.524351,232153,2.200961,1.370899e-01,24.674994,9.965926e+00
(11#)201/2,232189,2.532524,233297,2.201612,1.400266e-01,24.674994,1.023983e+01
(11#)101,233978,2.534564,234463,2.202293,1.405225e-01,24.674994,1.032494e+01
(11#)203/2,235028,2.506846,235607,2.202413,1.294718e-01,24.907690,9.409849e+00
(11#)102,236092,2.538865,236773,2.203335,1.417450e-01,24.907690,1.041405e+01
(11#)205/2,237883,2.566648,237929,2.203814,1.524113e-01,24.907690,1.130758e+01
(11#)103,238892,2.539570,239081,2.204529,1.414809e-01,24.907690,1.048380e+01
(11#)207/2,239857,2.497741,240209,2.204852,1.247263e-01,24.907690,9.201059e+00
(13#)8,241393,2.514952,241393,2.205575,1.312655e-01,24.907690,9.759185e+00
(11#)209/2,242119,2.534017,242533,2.206257,1.385084e-01,24.907690,1.038000e+01
(11#)105,243043,2.536059,243703,2.206809,1.390637e-01,24.907690,1.046936e+01
