START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
(5#)30,914,0.000000,911,2.643595,913,6.63826972,900,7.04182133,907,0.884532702,4.001974391,16.391267,0.000000
(5#)61/2,929,0.000000,929,2.643537,924,13.32323102,915,7.16119240,922,2.662524937,3.991036253,16.503061,0.000000
(5#)31,943,0.000000,941,2.643499,933,13.36108163,930,7.28463599,937,4.013608037,3.960875060,16.576923,0.000000
(7#)9/2,958,0.000000,953,2.643463,959,6.73435146,945,8.45019787,952,2.687985501,4.061373050,16.650265,0.000000
(5#)32,973,0.000000,971,2.643410,962,12.58222921,960,7.04183440,967,3.359811782,3.984135419,16.759322,0.000000
(5#)65/2,989,0.000000,983,2.643375,987,12.67639332,975,7.68199054,982,4.218734794,4.025167166,16.831405,0.000000
(5#)33,1004,0.000000,997,2.643336,1003,6.36779686,990,7.82425269,997,2.966966350,3.967411732,16.914886,0.000000
(5#)67/2,1019,0.000000,1019,2.643277,1005,12.74293688,1005,7.15015407,1012,4.254467133,3.974772716,17.044764,0.000000
(5#)34,1033,0.000000,1024,2.640683,1026,18.02713307,1020,7.51127582,1027,6.141823064,4.029405739,17.074063,0.000000
(5#)69/2,1049,0.000000,1049,2.643210,1035,18.07257740,1035,7.37716209,1042,6.034547266,3.953081602,17.219382,0.000000
(7#)5,1064,0.000000,1063,2.643175,1056,12.11820851,1050,8.45017836,1057,4.442676505,4.045597144,17.299920,0.000000
(5#)71/2,1079,0.000000,1069,2.643161,1078,12.19009305,1065,7.14388543,1072,3.653126492,4.010883722,17.334255,0.000000
(5#)36,1093,0.000000,1093,2.643105,1092,11.51546920,1080,7.04181003,1087,3.139030000,4.011122617,17.470535,0.000000
(5#)73/2,1109,0.000000,1109,2.643068,1107,11.56042673,1095,7.14100449,1102,6.156990457,3.953677548,17.560464,0.000000
(5#)37,1124,0.000000,1123,2.643038,1113,17.36739543,1110,7.24302135,1117,3.861686709,4.032452781,17.638561,0.000000
(5#)75/2,1139,0.000000,1129,2.643025,1138,5.82585384,1125,7.04181832,1132,1.551906121,3.969555454,17.671865,0.000000
(5#)38,1154,0.000000,1153,2.642982,1146,5.83745876,1140,7.45604545,1147,1.534517792,3.927751675,17.804105,0.000000
(11#)/2,1259,0.000000,1259,2.642782,1215,11.21011047,1155,9.38911241,1206,3.279993454,4.006264489,18.370544,0.000000
(7#)6,1363,0.000000,1361,2.642625,1290,20.51997516,1260,8.45018431,1311,3.591487838,3.997231373,18.890980,0.000000
(7#)13/2,1463,0.000000,1459,2.642495,1467,14.49772179,1365,9.21837971,1416,3.779381830,4.000410415,19.370846,0.000000
(7#)7,1574,0.000000,1571,2.642366,1470,14.50584733,1470,8.45016941,1521,4.162392578,3.999448827,19.897679,0.000000
(7#)15/2,1679,0.000000,1669,2.642268,1590,18.11295148,1575,8.45018512,1626,4.285610519,4.000423550,20.341656,0.000000
(7#)8,1784,0.000000,1783,2.642162,1683,12.73387709,1680,8.45017417,1731,3.471270159,3.997962446,20.840117,0.000000
(7#)17/2,1888,0.000000,1889,2.642079,1887,11.77096142,1785,9.01351726,1836,3.149426344,4.003938349,21.287808,0.000000
(7#)9,1994,0.000000,1993,2.642006,1890,11.77592006,1890,8.45017767,1941,2.857426111,3.995060894,21.713559,0.000000
(7#)19/2,2095,0.000000,2048,2.640679,1995,14.89952835,1995,8.94724497,2046,4.361611265,3.999301145,21.933686,0.000000
(7#)10,2204,0.000000,2203,2.641881,2121,14.22306186,2145,8.53552775,2151,3.263296367,4.000192823,22.536761,0.000000
(7#)21/2,2309,0.000000,2309,2.641826,2289,10.25891822,2205,8.45017839,2256,3.951147138,3.995229475,22.935579,0.000000
(11#),2401,0.000000,2411,2.641774,2364,13.40967530,2310,9.38907879,2361,5.137592441,4.004952857,23.309756,0.000000
(7#)23/2,2519,0.000000,2503,2.641735,2429,9.85389529,2415,8.85255865,2466,2.662032081,3.999492805,23.639697,0.000000
(7#)12,2623,0.000000,2621,2.641687,2550,9.46553253,2520,8.45017337,2571,2.636480485,4.001849237,24.053067,0.000000
(7#)25/2,2729,0.000000,2729,2.641647,2685,18.24524188,2625,8.45017202,2676,6.295377651,3.993809084,24.422340,0.000000
(7#)13,2834,0.000000,2833,2.641612,2730,14.90491529,2730,9.21836303,2782,4.323128465,4.003485714,24.770258,0.000000
(7#)27/2,2938,0.000000,2939,2.641576,2933,11.33169069,2835,8.45017398,2887,3.392633231,4.000256878,25.117561,0.000000
(7#)14,3038,0.000000,3041,2.641546,3030,10.93810258,2940,8.45016836,2992,3.136202755,3.999763937,25.445177,0.000000
(7#)29/2,3149,0.000000,3137,2.641520,3045,10.95158310,3045,8.76313650,3097,2.547715389,4.000376696,25.747930,0.000000
(7#)15,3253,0.000000,3253,2.641490,3210,13.03797987,3150,8.45017025,3202,3.431180549,3.998226242,26.106894,0.000000
(7#)31/2,3332,0.000000,3359,2.641465,3345,15.19772946,3255,8.74155435,3307,4.489718065,3.999935140,26.428677,0.000000
(7#)16,3461,0.000000,3463,2.641441,3360,12.67874370,3360,8.45016454,3412,3.225839824,3.992372424,26.738892,0.000000
(11#)3/2,3551,0.000000,3559,2.641419,3498,12.33050545,3465,9.38907865,3517,4.755350100,4.007123757,27.020633,0.000000
(7#)17,3656,0.000000,3673,2.641396,3582,17.04756134,3570,9.01351072,3622,4.677109688,4.002754971,27.349712,0.000000
(7#)35/2,3772,0.000000,3779,2.641376,3747,11.67442783,3675,8.45016547,3727,3.684829994,3.994662580,27.650589,0.000000
(7#)18,3874,0.000000,3881,2.641358,3870,11.37404711,3780,8.45016784,3832,3.795364227,3.999135541,27.935669,0.000000
(7#)37/2,3988,0.000000,3989,2.641340,3885,11.38470212,3885,8.69160032,3937,4.152011526,3.996215455,28.232970,0.000000
(7#)19,4087,0.000000,4093,2.641321,4050,13.14237709,3990,8.94723156,4042,3.794931263,4.008093514,28.515016,0.000000
(7#)39/2,4183,0.000000,4096,2.640676,4155,10.84739879,4095,9.21835905,4147,3.777840913,4.000343790,28.523092,0.000000
(7#)20,4292,0.000000,4297,2.641291,4215,10.71730373,4290,8.53552117,4252,4.133502510,4.000686175,29.056797,0.000000
(7#)41/2,4408,0.000000,4409,2.641276,4305,10.45008937,4305,8.66683476,4357,3.029972346,3.998053978,29.348116,0.000000
(7#)21,4511,0.000000,4513,2.641262,4452,12.27454393,4410,8.45016055,4462,3.610071382,3.998123449,29.614929,0.000000
(7#)43/2,4607,0.000000,4603,2.641249,4515,12.13970154,4515,8.65626675,4567,3.762205448,3.996247113,29.843052,0.000000
(11#)2,4724,0.000000,4723,2.641235,4620,13.84490628,4620,9.38906879,4672,3.921371538,4.002432182,30.143354,0.000000
(7#)45/2,4828,0.000000,4817,2.641224,4731,9.80871426,4725,8.45016133,4777,3.172583921,4.000284919,30.375612,0.000000
(7#)23,4912,0.000000,4933,2.641211,4860,9.60794917,4830,8.85255186,4882,3.374633794,3.999386213,30.658748,0.000000
(7#)47/2,5039,0.000000,5039,2.641200,4980,11.29469949,4935,8.63794393,4987,5.332555999,4.002775134,30.914225,0.000000
(7#)24,5141,0.000000,5119,2.641191,5040,11.18128865,5040,8.45015965,5092,3.706213710,3.994823354,31.105048,0.000000
(7#)49/2,5248,0.000000,5237,2.641179,5235,9.05272352,5145,8.45016363,5197,3.147662118,4.005298520,31.383481,0.000000
(7#)25,5353,0.000000,5351,2.641169,5256,8.95068785,5250,8.45016082,5302,2.974223952,3.992028233,31.649151,0.000000
(7#)51/2,5452,0.000000,5449,2.641160,5415,12.31786230,5355,9.01350432,5407,4.388705294,4.005793451,31.875007,0.000000
(7#)26,5564,0.000000,5563,2.641150,5460,15.68107844,5460,9.21835842,5512,4.414439763,3.998802427,32.134887,0.000000
(7#)53/2,5669,0.000000,5669,2.641142,5610,10.27816646,5565,8.61585079,5617,4.047938641,4.002438328,32.373863,0.000000
(7#)27,5749,0.000000,5749,2.641134,5670,10.18643016,5670,8.45015882,5722,4.297384958,3.995633090,32.552567,0.000000
(11#)5/2,5878,0.000000,5879,2.641124,5820,11.69039262,5775,9.38906924,5827,4.855702010,4.002023527,32.840009,0.000000
(7#)28,5981,0.000000,5981,2.641117,5883,8.27904527,5880,8.45015984,5932,3.024589175,4.000722549,33.063054,0.000000
(7#)57/2,6053,0.000000,6089,2.641109,6060,8.06965766,5985,8.94722758,6037,3.045947688,3.996652424,33.296906,0.000000
(7#)29,6193,0.000000,6173,2.641103,6132,14.41149333,6090,8.76312969,6142,4.143894926,4.001405276,33.477187,0.000000
(7#)59/2,6208,1.572694,6299,2.641095,6270,12.61020131,6195,8.59840873,6247,4.910412141,3.999108551,33.745048,0.000000
(7#)30,6377,0.000000,6397,2.641087,6300,14.05705203,6300,8.45015806,6352,4.544921624,4.002614240,33.951313,0.000000
(7#)61/2,6503,0.000000,6491,2.641082,6471,9.14876830,6405,8.59338423,6457,2.861461045,3.995303273,34.147501,0.000000
(7#)31,6599,0.000000,6607,2.641074,6510,9.16130195,6510,8.74154375,6562,3.086324584,4.004270213,34.387421,0.000000
(7#)63/2,6692,0.000000,6719,2.641068,6636,10.52645836,6615,8.45015854,6667,3.892658558,3.997056146,34.616838,0.000000
(7#)32,6814,0.000000,6823,2.641062,6741,11.84323253,6720,8.45015979,6772,4.402532222,3.997635637,34.827956,0.000000
(7#)65/2,6883,0.000000,6917,2.641057,6870,16.04885619,6825,9.21835567,6877,4.475183040,3.999550785,35.017227,0.000000
(11#)3,7021,0.000000,7027,2.641050,6963,10.14916719,6930,9.38906372,6982,4.194095871,4.004542973,35.236893,0.000000
(7#)67/2,7111,0.000000,7129,2.641045,7035,10.07945187,7035,8.58015939,7087,3.462323737,4.002235173,35.438867,0.000000
(7#)34,7244,0.000000,7243,2.641039,7143,8.51306926,7140,9.01350203,7192,3.210227533,3.997490140,35.662695,0.000000
(7#)69/2,7346,0.000000,7349,2.641034,7290,7.00069381,7245,8.85254624,7297,2.882401808,4.001147115,35.869052,0.000000
(7#)35,7451,0.000000,7451,2.641029,7446,9.59300907,7350,8.45015591,7402,3.017601237,3.999248696,36.066052,0.000000
(7#)71/2,7552,0.000000,7559,2.641024,7455,9.59560880,7455,8.57262459,7507,4.583949183,3.997626027,36.273001,0.000000
(7#)36,7664,0.000000,7649,2.641019,7590,14.88297064,7560,8.45015669,7612,5.587630009,4.002883881,36.444195,0.000000
(7#)73/2,7769,0.000000,7759,2.641014,7665,10.75665821,7665,8.56917263,7717,3.660461419,3.998897390,36.651908,0.000000
(7#)37,7867,0.000000,7873,2.641010,7791,9.29028240,7770,8.69159049,7822,3.687582440,3.999405840,36.865440,0.000000
(7#)75/2,7954,0.000000,7963,2.641006,7935,7.86567169,7875,8.45015707,7927,3.209420407,3.995706335,37.032797,0.000000
(7#)38,8083,0.000000,8081,2.641001,7980,9.11408137,7980,8.94722333,8032,3.352186643,3.998947117,37.250624,0.000000
(11#)7/2,8152,0.000000,8179,2.640997,8166,10.22227154,8085,9.38906417,8137,3.829732179,4.004425211,37.430180,0.000000
(7#)39,8288,0.000000,8192,2.640674,8190,11.50755010,8190,9.21835208,8242,3.982502111,4.002492670,37.453908,0.000000
(7#)79/2,8390,0.000000,8389,2.640989,8370,8.78601396,8295,8.55989804,8347,3.635114068,4.001358949,37.810928,0.000000
(7#)40,8504,0.000000,8501,2.640985,8445,11.23222604,8400,8.45015674,8452,3.184830924,3.998215610,38.011812,0.000000
(7#)81/2,8594,0.000000,8609,2.640981,8568,9.86554292,8580,8.53551058,8557,3.621168287,3.995733250,38.204124,0.000000
(7#)41,8699,0.000000,8713,2.640977,8637,9.80927310,8610,8.66682549,8662,4.843149979,4.002173723,38.388039,0.000000
(7#)83/2,8794,0.000000,8819,2.640973,8730,13.32082610,8715,8.55447997,8767,4.958622106,4.000353702,38.574232,0.000000
(7#)42,8899,0.000000,8923,2.640970,8835,13.16238528,8820,8.45015550,8872,4.170486956,3.997010411,38.755697,0.000000
(7#)85/2,9023,0.000000,9029,2.640966,8931,9.52639652,8925,9.01349889,8977,3.660152691,4.004609506,38.939438,0.000000
(7#)43,9059,0.000000,9133,2.640963,9075,9.42432317,9030,8.65625748,9082,4.015778408,3.996843433,39.118541,0.000000
(7#)87/2,9203,0.000000,9239,2.640960,9180,10.48048809,9135,8.76312455,9187,3.880852686,3.997378624,39.299919,0.000000
(11#)4,9283,0.000000,9343,2.640956,9330,12.67772054,9240,9.38906041,9292,4.672226737,4.002794014,39.476745,0.000000
(7#)89/2,9439,0.000000,9439,2.640953,9405,10.31968866,9345,8.54728463,9397,4.703925020,4.001493260,39.638994,0.000000
(7#)45,9463,0.000000,9551,2.640950,9540,10.14343827,9450,8.45015497,9502,4.265423570,3.996509080,39.827121,0.000000
(7#)91/2,9619,0.000000,9649,2.640947,9576,10.15177875,9555,9.21835058,9607,3.769840353,4.003776854,39.990723,0.000000
(7#)46,9752,0.000000,9749,2.640945,9750,9.99054941,9660,8.85254158,9712,4.222330645,3.997327514,40.156707,0.000000
(7#)93/2,9851,0.000000,9859,2.640942,9810,12.14707384,9765,8.74153992,9817,4.359307476,4.006406283,40.338193,0.000000
(7#)47,9967,0.000000,9973,2.640938,9870,8.78851969,9870,8.63793511,9922,3.590975489,3.992191574,40.525087,0.000000
(7#)95/2,10078,0.000000,10079,2.640935,10050,9.73631104,9975,8.94722152,10027,3.633114330,4.004684311,40.697796,0.000000
(7#)48,10174,0.000000,10181,2.640933,10155,9.69652444,10080,8.45015446,10132,3.788819514,3.997363788,40.863031,0.000000
(7#)97/2,10276,0.000000,10289,2.640930,10218,10.72051461,10185,8.53910320,10237,4.380039205,3.999516149,41.036980,0.000000
(7#)49,10369,0.000000,10391,2.640928,10350,9.55512122,10290,8.45015294,10342,3.990818073,3.996883377,41.200329,0.000000
(11#)9/2,10447,0.000000,10499,2.640925,10395,9.50505384,10395,9.38906082,10447,3.509779177,4.004970678,41.372312,0.000000
(7#)50,10592,0.000000,10601,2.640922,10593,9.37034976,10500,8.45015347,10552,3.489027663,3.999020498,41.533834,0.000000
(7#)101/2,10697,1.030851,10709,2.640920,10620,8.33377595,10605,8.53550832,10657,3.404699353,3.997003822,41.703913,0.000000
(7#)51,10805,0.000000,10799,2.640918,10785,10.26525637,10710,9.01349759,10762,3.839854484,4.004434125,41.844914,0.000000
(7#)103/2,10907,0.000000,10909,2.640915,10845,8.17336977,10815,8.53381864,10867,3.332157486,3.995230626,42.016359,0.000000
(7#)52,10994,0.000000,11003,2.640913,10920,11.18885524,10920,9.21834824,10972,3.722130189,4.006159859,42.162102,0.000000
(7#)105/2,11084,0.000000,11119,2.640910,11115,9.03004887,11025,8.45015424,11077,3.522815599,3.997204448,42.340999,0.000000
(7#)53,11201,0.993514,11213,2.640908,11145,8.98334810,11130,8.61584234,11182,3.703904121,4.004844571,42.485203,0.000000
(7#)107/2,11260,0.000000,11329,2.640906,11235,8.94743964,11235,8.53063049,11287,3.603166558,3.995364935,42.662228,0.000000
(7#)54,11393,0.000000,11443,2.640904,11355,7.88133695,11340,8.45015354,11392,3.557833017,3.999995365,42.835216,0.000000
(7#)109/2,11533,0.000000,11549,2.640902,11493,8.79013684,11445,8.52912672,11497,3.085533373,3.995712532,42.995202,0.000000
(11#)5,11650,0.000000,11633,2.640900,11550,8.75055611,11550,9.38905800,11602,3.221179240,4.000421368,43.121402,0.000000
(7#)111/2,11746,0.000000,11743,2.640898,11655,8.67114943,11655,8.69158675,11707,3.316689241,4.003964890,43.285895,0.000000
(7#)56,11797,0.955455,11863,2.640895,11760,12.48042507,11760,8.45015267,11812,4.066890216,3.997188824,43.464363,0.000000
(7#)113/2,11959,0.947934,11969,2.640893,11865,10.46601760,11865,8.52627996,11917,4.455955882,3.997936086,43.621173,0.000000
(7#)57,11977,0.000000,12073,2.640892,11970,12.25963711,11970,8.94722095,12022,4.171502094,3.997909081,43.774271,0.000000
(7#)115/2,12178,0.000000,12163,2.640890,12075,11.27734211,12075,8.85254114,12127,4.118083181,4.004925387,43.906166,0.000000
(7#)58,12234,0.927594,12281,2.640887,12270,9.28173593,12180,8.76312044,12232,3.913059658,4.000860246,44.078271,0.000000
(7#)117/2,12319,0.000000,12379,2.640886,12285,10.21255951,12285,9.21834726,12337,4.297947734,4.000394662,44.220504,0.000000
(7#)59,12422,0.916212,12491,2.640884,12390,15.64773947,12390,8.59840058,12442,4.795076506,3.997360431,44.382289,0.000000
(7#)119/2,12539,0.913327,12589,2.640882,12540,10.96011164,12495,9.01349557,12547,4.841113831,4.007522423,44.523186,0.000000
(7#)60,12704,0.000000,12703,2.640881,12600,10.91522665,12600,8.45015108,12652,4.334716948,3.990852951,44.686319,0.000000
(11#)11/2,12758,0.000000,12809,2.640879,12705,10.82397479,12705,9.38905836,12757,4.196292621,4.004709500,44.837271,0.000000
(7#)61,12878,0.891080,12911,2.640877,12810,11.62894357,12810,8.59337442,12862,4.083223051,4.000391807,44.981869,0.000000
(7#)123/2,12944,0.000000,13009,2.640875,13008,10.61010309,12915,8.66682188,12967,4.106981741,3.995835548,45.120197,0.000000
(7#)62,13057,0.880540,13121,2.640874,13110,11.45680276,13020,8.74153649,13072,4.242629895,4.005139431,45.277575,0.000000
(7#)125/2,13189,0.873843,13229,2.640872,13125,9.64925601,13125,8.45015175,13177,3.846738997,3.999371509,45.428624,0.000000
(7#)63,13321,0.000000,13331,2.640871,13320,9.53968927,13230,8.45015079,13282,3.698309627,3.998121569,45.570649,0.000000
(7#)127/2,13435,0.000000,13421,2.640869,13377,7.77484175,13335,8.51775337,13387,3.306123450,3.998514523,45.695463,0.000000
(7#)64,13451,0.000000,13537,2.640867,13530,8.57732608,13440,8.45015120,13492,3.520231631,4.001359861,45.855646,0.000000
(7#)129/2,13606,0.000000,13649,2.640866,13545,12.86898654,13545,8.65625227,13597,4.021779491,3.992445995,46.009580,0.000000
(7#)65,13666,0.000000,13751,2.640864,13689,8.51767158,13650,9.21834719,13702,4.159371501,4.008024280,46.149157,0.000000
(7#)131/2,13789,0.000000,13859,2.640863,13755,9.33507762,13755,8.51565647,13807,4.261699924,3.997318760,46.296316,0.000000
(11#)6,13963,0.000000,13963,2.640862,13881,10.95114154,13860,9.38905611,13912,3.854420632,4.001842714,46.437420,0.000000
(7#)133/2,14044,0.000000,14057,2.640860,14040,10.82693597,13965,8.94721955,14017,3.194797945,4.001225246,46.564453,0.000000
(7#)67,14174,0.000000,14173,2.640858,14103,7.46849823,14070,8.58015321,14122,2.772829776,3.999011696,46.720565,0.000000
(7#)135/2,14279,0.000000,14251,2.640858,14199,7.44526602,14175,8.45015072,14227,3.071165412,3.999570853,46.825135,0.000000
(7#)68,14342,0.000000,14369,2.640856,14355,9.81646941,14280,9.01349469,14332,3.262855815,4.001194719,46.982727,0.000000
(7#)137/2,14464,0.812082,14489,2.640855,14475,9.74652917,14385,8.51274481,14437,3.663187654,3.999905264,47.142250,0.000000
(7#)69,14524,0.812784,14593,2.640853,14520,11.37832028,14490,8.85253833,14542,4.531067774,3.999795920,47.279908,0.000000
(7#)139/2,14671,1.607645,14699,2.640852,14610,11.29305971,14595,8.51183140,14647,4.780209274,4.000328560,47.419650,0.000000
